Monthly_Income,Investment_Percentage,Emergency_Fund,Debt_Level,Investment_Goal,Expected_Return,Volatility_Reaction,Loss_Reaction,High_Risk_Allocation,Company_Type,Sector_Preference,Review_Frequency,Experience_Level,Decision_Tools
"₹50,000–₹1,00,000",Less than 10%,"No, but working on it",None or less than 10%,Long-term wealth creation,10%–15%,Stay calm and buy more,Hold the stock,Less than 25%,Small-cap,Sector-specific,Frequently,Moderate,Extensive
"Above ₹1,00,000",10%–20%,Yes,10%–30%,Short-term gains,10%–15%,Stay calm and buy more,Increase investment,More than 50%,Small-cap,Diversified portfolio,Rarely,High,Rarely
"Above ₹1,00,000",Less than 10%,Yes,10%–30%,Steady returns,Above 15%,Stay calm and buy more,Hold the stock,25%–50%,Small-cap,General market,Rarely,High,Extensive
"₹50,000–₹1,00,000",10%–20%,No,10%–30%,Short-term gains,Below 10%,Stay calm and buy more,Increase investment,25%–50%,Mid-cap,Diversified portfolio,Rarely,Moderate,Sometimes
"Below ₹50,000",More than 20%,"No, but working on it",10%–30%,Long-term wealth creation,10%–15%,Stay calm and buy more,Increase investment,25%–50%,Mid-cap,General market,Rarely,Moderate,Rarely
"Below ₹50,000",Less than 10%,Yes,More than 30%,Short-term gains,Above 15%,Hold and wait,Sell to cut losses,Less than 25%,Large-cap,Diversified portfolio,Frequently,Moderate,Rarely
"Below ₹50,000",10%–20%,Yes,10%–30%,Long-term wealth creation,Below 10%,Stay calm and buy more,Hold the stock,Less than 25%,Large-cap,Diversified portfolio,Frequently,Moderate,Rarely
"Above ₹1,00,000",10%–20%,"No, but working on it",None or less than 10%,Long-term wealth creation,Below 10%,Stay calm and buy more,Sell to cut losses,Less than 25%,Mid-cap,General market,Occasionally,Moderate,Rarely
"₹50,000–₹1,00,000",Less than 10%,Yes,10%–30%,Short-term gains,Below 10%,Hold and wait,Increase investment,25%–50%,Small-cap,Sector-specific,Occasionally,High,Sometimes
"Above ₹1,00,000",Less than 10%,Yes,None or less than 10%,Long-term wealth creation,10%–15%,Hold and wait,Hold the stock,More than 50%,Mid-cap,Diversified portfolio,Frequently,Low,Rarely
"Below ₹50,000",Less than 10%,"No, but working on it",10%–30%,Long-term wealth creation,10%–15%,Stay calm and buy more,Hold the stock,Less than 25%,Mid-cap,Sector-specific,Rarely,Moderate,Extensive
"Above ₹1,00,000",Less than 10%,"No, but working on it",None or less than 10%,Short-term gains,10%–15%,Hold and wait,Hold the stock,Less than 25%,Small-cap,General market,Frequently,Moderate,Rarely
"Above ₹1,00,000",More than 20%,"No, but working on it",None or less than 10%,Short-term gains,Below 10%,Hold and wait,Hold the stock,More than 50%,Mid-cap,General market,Frequently,High,Sometimes
"Below ₹50,000",More than 20%,Yes,More than 30%,Steady returns,Below 10%,Stay calm and buy more,Hold the stock,Less than 25%,Mid-cap,Sector-specific,Occasionally,Moderate,Rarely
"Below ₹50,000",10%–20%,"No, but working on it",More than 30%,Steady returns,Above 15%,Panic and sell,Hold the stock,Less than 25%,Mid-cap,Diversified portfolio,Occasionally,Moderate,Sometimes
"Below ₹50,000",More than 20%,Yes,10%–30%,Long-term wealth creation,Above 15%,Panic and sell,Sell to cut losses,25%–50%,Mid-cap,General market,Occasionally,High,Sometimes
"₹50,000–₹1,00,000",More than 20%,Yes,10%–30%,Long-term wealth creation,Above 15%,Stay calm and buy more,Sell to cut losses,25%–50%,Small-cap,Sector-specific,Frequently,High,Sometimes
"₹50,000–₹1,00,000",Less than 10%,"No, but working on it",None or less than 10%,Long-term wealth creation,Below 10%,Stay calm and buy more,Sell to cut losses,25%–50%,Large-cap,Diversified portfolio,Rarely,Moderate,Rarely
